index,disease_name,supplement name,supplement image,buy link
50,Potato___Potato_leaf_late_blight,BreathingLeaf Potassium Nitrate,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSOWC56S6sgGKe-8VBTrpHM5NC_9C-O4q5qRFs-c5V0psLlVe9vqa038_hB03A0UgZvIouqNcotrysiW25Vz1WmE0rNYwY912WjA7oD1thynLYeaAbRQwG0tA&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/breathingLeaf-Potassium-Nitrate-Gardening-Plants/dp/B09GMTK37X%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA1MGJ73A10XG4K&opi=95576897&sa=U&ved=0ahUKEwjZ1sb34qyCAxXN-DgGHVeHDHMQgOUECBQ&usg=AOvVaw1ltqrFCqreRdDdmSRX85_O
51,Raspberry___Raspberry_leaf,Erwon Gerbera Growth Booster Fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSPuZabA9nmhoIqOqsNq4SsV1D-HsaQ0qlRVqQsKjkkfAtCvyYBUjzEg_VoLtoq48zZPjTlaXJrcl8JHrR5Tt-SV0aQ7zoJkxJPJBQ61rk&usqp=CAE,https://www.google.com/url?q=https://www.jiomart.com/p/homeandkitchen/erwon-gerbera-growth-booster-fertilizer-0-4-kg-powder/605798985%3Fsource%3Dshoppingads&opi=95576897&sa=U&ved=0ahUKEwih3--a46yCAxXSwjgGHZ7ACooQgOUECJMD&usg=AOvVaw1pFVSWOMqjPbU5aJsTHe76
52,Soybean___Soybean_leaf,Bandhuja Seaweed Liquid Fertilizer For Plants and Trees Fertilizer  (250 ml Liquid),https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQL6pPkEEzrZHTt9x3y6tt0fd_pFR3GLXQZxLdEP0n4gzV9cr475WG1Iw1mCIdzw1DtoI6XY6sLJYuRLnvkEhoLahouOb2-ycCspoj5O6YmpnCCBtVjyXWCiA&usqp=CAE,https://www.google.com/url?q=http://www.flipkart.com/bandhuja-seaweed-liquid-fertilizer-plants-trees/p/itmd2fdfb27a12f4%3Fpid%3DSMNGU8X4KGDYTGYA%26lid%3DLSTSMNGU8X4KGDYTGYA6UGCRM%26marketplace%3DFLIPKART%26cmpid%3Dcontent_soil-manure_8965229628_gmc&opi=95576897&sa=U&ved=0ahUKEwjdrs2t46yCAxUojGMGHZCbCvkQgOUECFE&usg=AOvVaw3fzxl8GlTQD8gB7DveJ1F1
53,Squash___Squash_powdery_mildew_leaf,AGROVEER ALL VEGETABLES,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTmIyoqAz14ljtkisypJXF9K7cE6VTrEmigFiYODWtA83CPPWaKAWAbW_yFORlq44ItX6U-zMqdrONdOJqM7q01E6dwopm7e34sT11bDe-i6Ezci2Rxzknf&usqp=CAE,https://www.google.com/url?q=https://bighaat-2.myshopify.com/products/agroveer-all-vegetables-booster%3Fvariant%3D40541910433815%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOopW1ceXwyX1epJd6DrpRMbYkYve8_Kwt0IoIOicv9U5dpueZFYMjjI&opi=95576897&sa=U&ved=0ahUKEwj9gOrR46yCAxXed2wGHXLJD0sQgOUECJIB&usg=AOvVaw3vKKED4FMLVPTzR-3pFv3a
54,Strawberry___Strawberry_leaf,Garden King Strawberry Food,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT16FNsVp88oSdArMAa6Wl74FI-Cm0O_Pm5_zLc17afi_6mI1xPsxKaEb97uVut_TMGpogAXF-bkBCQhMs94eFr8ps4tF21J7W7FyYFN8jk6AwTUhDfqMhP&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Strawberry-Essential-Fertilizer-Nutrients-Micro-Organism/dp/B0B5P4Q2N8%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA1MNN90YSFIH8Q&opi=95576897&sa=U&ved=0ahUKEwjPwpH_46yCAxXyS2wGHewaCdcQguUECBk&usg=AOvVaw3dhKNbjh1ZvqX1B90ruuPn
55,Tomato___Tomato_early_blight_leaf, Going Greens Tomato Fertilizer, https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRfOc0NNjXc5eqiVPRRuS7vDDyIfjq_fRb18oySdD01Y6jPt9VyTq52DkfDIjftWmEsnB0Zx6rDPqWs7-0Fd_dgm8kHe-mHvyazkBcB6xot7dIcf74kBGaydA&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Going-Greens-Tomato-Fertilizer-900/dp/B09C26G74C%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2DC3HPBN3458M&opi=95576897&sa=U&ved=0ahUKEwiFrcCV5KyCAxVjdmwGHWT4CzEQgOUECEI&usg=AOvVaw3_HAEY8D9my4I7Sfn3SEfw
56,Tomato___Tomato_leaf,Sansar Green Tomato Promoter Organic Liquid Fertilizer,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTk-PUY5uv0Fj4RoHe_TXoIx43Y9EhB07B3Oz7-rYRF6ImjwPOHLca-aR8KimxKZXY3XASBQ2GoeSIHjh_WEAmrKMmg1t5gmP9xGX5qWsiEKrXYSdfI4PyFwg&usqp=CAE,https://www.google.com/url?q=https://www.jiomart.com/p/homeandkitchen/sansar-green-tomato-promoter-organic-liquid-fertilizer-1000-ml-liquid/604642674%3Fsource%3Dshoppingads&opi=95576897&sa=U&ved=0ahUKEwiy6P6m5KyCAxUBSWwGHRyuBvkQgOUECH8&usg=AOvVaw3WdhbnIl4YVghFZJBqAc3c
57,Tomato___Tomato_leaf_bacterial_spot, Miracle-Gro Tomato Plant, https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTdzeyO7H8EvlgXFMXOJEDNveyBeD4qGdJaN76Le6aMDDxbPjOqAyNiF3wVqzVw4y47TKpD9jQbit6rH3Sg33uGPULk8r2qhyqgJrvsagJDoXv6SpaiszSklg&usqp=CAE,https://www.google.com/url?q=https://www.getuscart.com/miracle-gro-2000422-plant-food-15-pound-tomato-fertilizer-15-lb&opi=95576897&sa=U&ved=0ahUKEwjrnPDB5KyCAxVUbmwGHX9OAB0QguUECB0&usg=AOvVaw0DUXC9Pe_pDE1hezykFBwb
58,Tomato___Tomato_leaf_late_blight,Jobe's Tomato Fertilizer,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRquMq7Bmh1GbLFHcSDaH0VGc3K5q3yo_kwArMl2sUj9wC45fgESEZ2bxS0wQh2RsHlwdV7fg2L-CZg06AAaPCJeQZAxXExBllQqPuInlW-VJIWE_s_RiJKrw&usqp=CAE,https://www.google.com/url?q=https://www.getuscart.com/jobes-tomato-fertilizer-spikes-18-spikes&opi=95576897&sa=U&ved=0ahUKEwiOv4vk5KyCAxWMT2wGHWxgCaIQguUECDM&usg=AOvVaw1ZGWJFOxPorB5VZI_DmGhs
59,Tomato___Tomato_leaf_mosaic_virus, Multiplex Samras Plant Bio Activator,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSaqgxO7yqI6ZWBDxaWLGqy1O11tQDwQ4yfn-utnmHzoQ4B8zdxWpJggXxK03fzo_BoBxUyDdwh8gtHPAcyXtUE7-AEV6ZUYwCWiLQFzzr0K7FllOS7wVg-&usqp=CAE,https://www.google.com/url?q=https://kisanshop.in/products/multiplex-samras-plant-growth-promoter%3Fcurrency%3DINR%26variant%3D40832552304845%26utm_medium%3Dcpc%26utm_source%3Dgoogle%26utm_campaign%3DGoogle%2520Shopping%26stkn%3D26db1a826c64%26srsltid%3DAfmBOooqTqh9Peml-lgUL2pDU0x7pZRMJ-pJ8HBBON5iTqQ4hw1MwxbYQ-w&opi=95576897&sa=U&ved=0ahUKEwjS14OG5ayCAxWud2wGHVKMDO0QgOUECM0B&usg=AOvVaw28pY8a5_f6OyNLJphKnZvw
60,Tomato___Tomato_leaf_yellow_virus, Exfert Mr Fixer Natural Plant Extract Cure For Yellow Mosaic & Leaf Curl Virus Fertilizer 250 ml,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQhIG0zX_7v2FwlzXm5xL0tnhvVRFzJyxlw10J68MRiLiisu5RyY7MZqcep-E-EOdDxxiQgpF7NzITnTODAvCq-dzfp5Xumt0Y-tAD7W4nkqUYqJzUSTw9D&usqp=CAE,https://www.google.com/url?q=https://www.industrybuying.com/fertilizer-exfert-AGR.FER.49756351/%3Fsrsltid%3DAfmBOoodfhCZx5E2ObcQNkK4uGXdi_Wz4ShVy3GFUBYTy49CgrxCdV8q2Y8&opi=95576897&sa=U&ved=0ahUKEwicv5_V5ayCAxWvumMGHVSvBk8QgOUECBQ&usg=AOvVaw3HD_KY2nkh4Pk1bqZotaxv
61,Tomato___Tomato_mold_leaf,Ebee Leaf Compost Leaf Mold,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQNk_R-kdY7BOuMHtAyYJvB6iwM7Lrn8HXWhnn0YgGmigksEfnLiBhJjm_FceCldli2QJ3VWJCIv68-i1TNZnHtwRWDowSRUiWG50I6eU-WdX2MUANgKqdQqQ&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Ebee-Leaf-Compost-Patte-2KG/dp/B0BPQPXGP7%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2AL6IVND0I91F&opi=95576897&sa=U&ved=0ahUKEwjcnYf55ayCAxWv8DgGHfY2BgoQgOUECD8&usg=AOvVaw3RZkD2hrR0IWlsW5EysYhX
62,Tomato___Tomato_septoria_leaf_spotSpot, Order Erwon Foliar Premium Essential Powerful Liquid Foliar Fertilizer,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTS0A8aY1NkUE_qkwEoXNhpQrpddFE5DU1N3tGs0BJq5vnj96Bfe1Riq4G9iNgECcGr9g1V3zaq2hF6y-JGhXZ3b2ZyABicchbhh-zJymLayxuvXtLZ4EztCw&usqp=CAE, https://www.google.com/url?q=https://www.jiomart.com/p/homeandkitchen/erwon-foliar-premium-essential-powerful-liquid-foliar-fertilizer-for-the-best-growth-of-all-types-of-plants-fertilizer-1-kg-liquid/605795136%3Fsource%3Dshoppingads&opi=95576897&sa=U&ved=0ahUKEwjohYC55qyCAxVwZmwGHVXhACoQgOUECFg&usg=AOvVaw3CV5Vpv4bb7uZ71rQ8o_Is   
